week,ht,t1,t2,date,intl,intl_prior
1,NYJ,BAL,NYJ,9/11/22,FALSE,FALSE
1,LAR,BUF,LAR,9/8/22,FALSE,FALSE
1,CAR,CLE,CAR,9/11/22,FALSE,FALSE
1,SEA,DEN,SEA,9/12/22,FALSE,FALSE
1,MIN,GB,MIN,9/11/22,FALSE,FALSE
1,HOU,IND,HOU,9/11/22,FALSE,FALSE
1,WSH,JAX,WSH,9/11/22,FALSE,FALSE
1,ARI,KC,ARI,9/11/22,FALSE,FALSE
1,LAC,LV,LAC,9/11/22,FALSE,FALSE
1,MIA,NE,MIA,9/11/22,FALSE,FALSE
1,ATL,NO,ATL,9/11/22,FALSE,FALSE
1,TEN,NYG,TEN,9/11/22,FALSE,FALSE
1,DET,PHI,DET,9/11/22,FALSE,FALSE
1,CIN,PIT,CIN,9/11/22,FALSE,FALSE
1,CHI,SF,CHI,9/11/22,FALSE,FALSE
1,DAL,TB,DAL,9/11/22,FALSE,FALSE
2,LV,ARI,LV,9/18/22,FALSE,FALSE
2,LAR,ATL,LAR,9/18/22,FALSE,FALSE
2,NYG,CAR,NYG,9/18/22,FALSE,FALSE
2,GB,CHI,GB,9/18/22,FALSE,FALSE
2,DAL,CIN,DAL,9/18/22,FALSE,FALSE
2,DEN,HOU,DEN,9/18/22,FALSE,FALSE
2,JAX,IND,JAX,9/18/22,FALSE,FALSE
2,KC,LAC,KC,9/15/22,FALSE,FALSE
2,BAL,MIA,BAL,9/18/22,FALSE,FALSE
2,PHI,MIN,PHI,9/19/22,FALSE,FALSE
2,PIT,NE,PIT,9/18/22,FALSE,FALSE
2,CLE,NYJ,CLE,9/18/22,FALSE,FALSE
2,SF,SEA,SF,9/18/22,FALSE,FALSE
2,NO,TB,NO,9/18/22,FALSE,FALSE
2,BUF,TEN,BUF,9/19/22,FALSE,FALSE
2,DET,WSH,DET,9/18/22,FALSE,FALSE
3,SEA,ATL,SEA,9/25/22,FALSE,FALSE
3,NE,BAL,NE,9/25/22,FALSE,FALSE
3,MIA,BUF,MIA,9/25/22,FALSE,FALSE
3,NYJ,CIN,NYJ,9/25/22,FALSE,FALSE
3,NYG,DAL,NYG,9/26/22,FALSE,FALSE
3,MIN,DET,MIN,9/25/22,FALSE,FALSE
3,TB,GB,TB,9/25/22,FALSE,FALSE
3,CHI,HOU,CHI,9/25/22,FALSE,FALSE
3,LAC,JAX,LAC,9/25/22,FALSE,FALSE
3,IND,KC,IND,9/25/22,FALSE,FALSE
3,TEN,LV,TEN,9/25/22,FALSE,FALSE
3,ARI,LAR,ARI,9/25/22,FALSE,FALSE
3,CAR,NO,CAR,9/25/22,FALSE,FALSE
3,WSH,PHI,WSH,9/25/22,FALSE,FALSE
3,CLE,PIT,CLE,9/22/22,FALSE,FALSE
3,DEN,SF,DEN,9/25/22,FALSE,FALSE
4,CAR,ARI,CAR,10/2/22,FALSE,FALSE
4,BAL,BUF,BAL,10/2/22,FALSE,FALSE
4,NYG,CHI,NYG,10/2/22,FALSE,FALSE
4,ATL,CLE,ATL,10/2/22,FALSE,FALSE
4,LV,DEN,LV,10/2/22,FALSE,FALSE
4,PHI,JAX,PHI,10/2/22,FALSE,FALSE
4,TB,KC,TB,10/2/22,FALSE,FALSE
4,SF,LAR,SF,10/3/22,FALSE,FALSE
4,HOU,LAC,HOU,10/2/22,FALSE,FALSE
4,CIN,MIA,CIN,9/29/22,FALSE,FALSE
4,NO,MIN,NO,10/2/22,TRUE,FALSE
4,GB,NE,GB,10/2/22,FALSE,FALSE
4,PIT,NYJ,PIT,10/2/22,FALSE,FALSE
4,DET,SEA,DET,10/2/22,FALSE,FALSE
4,IND,TEN,IND,10/2/22,FALSE,FALSE
4,DAL,WSH,DAL,10/2/22,FALSE,FALSE
5,TB,ATL,TB,10/9/22,FALSE,FALSE
5,MIN,CHI,MIN,10/9/22,FALSE,MIN
5,BAL,CIN,BAL,10/9/22,FALSE,FALSE
5,LAR,DAL,LAR,10/9/22,FALSE,FALSE
5,NE,DET,NE,10/9/22,FALSE,FALSE
5,JAX,HOU,JAX,10/9/22,FALSE,FALSE
