team_long_name,team,Rank,FPI,elo_name,elo
Buffalo Bills,BUF,1,9.4,Bills,1669
Green Bay Packers,GB,2,8.8,Packers,1645
Los Angeles Rams,LAR,3,7.7,Rams,1662
Kansas City Chiefs,KC,4,7.6,Chiefs,1701
Tampa Bay Buccaneers,TB,5,7.4,Buccaneers,1634
Dallas Cowboys,DAL,6,7.2,Cowboys,1600
Los Angeles Chargers,LAC,7,6.2,Chargers,1513
Indianapolis Colts,IND,8,4.2,Colts,1529
Arizona Cardinals,ARI,9,4.1,Cardinals,1492
Cleveland Browns,CLE,10,3.5,Browns,1461
Baltimore Ravens,BAL,11,3.3,Ravens,1519
Denver Broncos,DEN,12,3.3,Broncos,1418
Minnesota Vikings,MIN,13,3.2,Vikings,1511
Las Vegas Raiders,LV,14,2.8,Raiders,1467
New England Patriots,NE,15,2.2,Patriots,1553
Cincinnati Bengals,CIN,16,1.1,Bengals,1592
Tennessee Titans,TEN,17,0.9,Titans,1564
Philadelphia Eagles,PHI,18,-0.1,Eagles,1493
New Orleans Saints,NO,19,-0.9,Saints,1538
Washington,WAS,20,-1.5,Washington,1439
Miami Dolphins,MIA,21,-1.6,Dolphins,1548
New York Giants,NYG,22,-4.1,Giants,1391
Detroit Lions,DET,23,-4.3,Lions,1324
San Francisco 49ers,SF,24,-6.1,49ers,1615
Carolina Panthers,CAR,25,-7.5,Panthers,1337
Pittsburgh Steelers,PIT,26,-7.5,Steelers,1481
Seattle Seahawks,SEA,27,-7.9,Seahawks,1527
Jacksonville Jaguars,JAC,28,-8.2,Jaguars,1276
Atlanta Falcons,ATL,29,-11.6,Falcons,1374
Houston Texans,HOU,30,-12,Texans,1348
New York Jets,NYJ,31,-12.8,Jets,1280
Chicago Bears,CHI,32,-13.2,Bears,1407
