week,t1,t2,ht,intl,intl_prior,date
1,ARI,WSH,WSH,FALSE,FALSE,9/10/23
1,BUF,NYJ,NYJ,FALSE,FALSE,9/11/23
1,CAR,ATL,ATL,FALSE,FALSE,9/10/23
1,CIN,CLE,CLE,FALSE,FALSE,9/10/23
1,DAL,NYG,NYG,FALSE,FALSE,9/10/23
1,DET,KC,KC,FALSE,FALSE,9/7/23
1,GB,CHI,CHI,FALSE,FALSE,9/10/23
1,HOU,BAL,BAL,FALSE,FALSE,9/10/23
1,JAX,IND,IND,FALSE,FALSE,9/10/23
1,LV,DEN,DEN,FALSE,FALSE,9/10/23
1,LAR,SEA,SEA,FALSE,FALSE,9/10/23
1,MIA,LAC,LAC,FALSE,FALSE,9/10/23
1,PHI,NE,NE,FALSE,FALSE,9/10/23
1,SF,PIT,PIT,FALSE,FALSE,9/10/23
1,TB,MIN,MIN,FALSE,FALSE,9/10/23
1,TEN,NO,NO,FALSE,FALSE,9/10/23
2,BAL,CIN,CIN,FALSE,FALSE,9/17/23
2,CHI,TB,TB,FALSE,FALSE,9/17/23
2,CLE,PIT,PIT,FALSE,FALSE,9/18/23
2,GB,ATL,ATL,FALSE,FALSE,9/17/23
2,IND,HOU,HOU,FALSE,FALSE,9/17/23
2,KC,JAX,JAX,FALSE,FALSE,9/17/23
2,LV,BUF,BUF,FALSE,FALSE,9/17/23
2,LAC,TEN,TEN,FALSE,FALSE,9/17/23
2,MIA,NE,NE,FALSE,FALSE,9/17/23
2,MIN,PHI,PHI,FALSE,FALSE,9/14/23
2,NO,CAR,CAR,FALSE,FALSE,9/18/23
2,NYG,ARI,ARI,FALSE,FALSE,9/17/23
2,NYJ,DAL,DAL,FALSE,FALSE,9/17/23
2,SF,LAR,LAR,FALSE,FALSE,9/17/23
2,SEA,DET,DET,FALSE,FALSE,9/17/23
2,WSH,DEN,DEN,FALSE,FALSE,9/17/23
3,ATL,DET,DET,FALSE,FALSE,9/24/23
3,BUF,WSH,WSH,FALSE,FALSE,9/24/23
3,CAR,SEA,SEA,FALSE,FALSE,9/24/23
3,CHI,KC,KC,FALSE,FALSE,9/24/23
3,DAL,ARI,ARI,FALSE,FALSE,9/24/23
3,DEN,MIA,MIA,FALSE,FALSE,9/24/23
3,HOU,JAX,JAX,FALSE,FALSE,9/24/23
3,IND,BAL,BAL,FALSE,FALSE,9/24/23
3,LAR,CIN,CIN,FALSE,FALSE,9/25/23
3,LAC,MIN,MIN,FALSE,FALSE,9/24/23
3,NE,NYJ,NYJ,FALSE,FALSE,9/24/23
3,NO,GB,GB,FALSE,FALSE,9/24/23
3,NYG,SF,SF,FALSE,FALSE,9/21/23
3,PHI,TB,TB,FALSE,FALSE,9/25/23
3,PIT,LV,LV,FALSE,FALSE,9/24/23
3,TEN,CLE,CLE,FALSE,FALSE,9/24/23
4,ARI,SF,SF,FALSE,FALSE,10/1/23
4,ATL,JAX,JAX,TRUE,FALSE,10/1/23
4,BAL,CLE,CLE,FALSE,FALSE,10/1/23
4,CIN,TEN,TEN,FALSE,FALSE,10/1/23
4,DEN,CHI,CHI,FALSE,FALSE,10/1/23
4,DET,GB,GB,FALSE,FALSE,9/23/23
4,KC,NYJ,NYJ,FALSE,FALSE,10/1/23
4,LV,LAC,LAC,FALSE,FALSE,10/1/23
4,LAR,IND,IND,FALSE,FALSE,10/1/23
4,MIA,BUF,BUF,FALSE,FALSE,10/1/23
4,MIN,CAR,CAR,FALSE,FALSE,10/1/23
4,NE,DAL,DAL,FALSE,FALSE,10/1/23
4,PIT,HOU,HOU,FALSE,FALSE,10/1/23
4,SEA,NYG,NYG,FALSE,FALSE,10/2/23
4,TB,NO,NO,FALSE,FALSE,10/1/23
4,WSH,PHI,PHI,FALSE,FALSE,10/1/23
5,BAL,PIT,PIT,FALSE,FALSE,10/8/23
5,CAR,DET,DET,FALSE,FALSE,10/8/23
5,CHI,WSH,WSH,FALSE,FALSE,10/5/23
5,CIN,ARI,ARI,FALSE,FALSE,10/8/23
5,DAL,SF,SF,FALSE,FALSE,10/8/23
5,GB,LV,LV,FALSE,FALSE,10/9/23
5,HOU,ATL,ATL,FALSE,ATL,10/8/23
5,JAX,BUF,BUF,TRUE,FALSE,10/8/23
5,KC,MIN,MIN,FALSE,FALSE,10/8/23
5,NO,NE,NE,FALSE,FALSE,10/8/23
5,NYG,MIA,MIA,FALSE,FALSE,10/8/23
5,NYJ,DEN,DEN,FALSE,FALSE,10/8/23
5,PHI,LAR,LAR,FALSE,FALSE,10/8/23
5,TEN,IND,IND,FALSE,FALSE,10/8/23
6,ARI,LAR,LAR,FALSE,FALSE,10/15/23
6,BAL,TEN,TEN,TRUE,FALSE,10/15/23
6,CAR,MIA,MIA,FALSE,FALSE,10/15/23
6,DAL,LAC,LAC,FALSE,FALSE,10/16/23
6,DEN,KC,KC,FALSE,FALSE,10/12/23
6,DET,TB,TB,FALSE,FALSE,10/15/23
6,IND,JAX,JAX,FALSE,JAX,10/15/23
6,MIN,CHI,CHI,FALSE,FALSE,10/15/23
6,NE,LV,LV,FALSE,FALSE,10/15/23
6,NO,HOU,HOU,FALSE,FALSE,10/15/23
6,NYG,BUF,BUF,FALSE,BUF,10/15/23
6,PHI,NYJ,NYJ,FALSE,FALSE,10/15/23
6,SF,CLE,CLE,FALSE,FALSE,10/15/23
6,SEA,CIN,CIN,FALSE,FALSE,10/15/23
6,WSH,ATL,ATL,FALSE,FALSE,10/15/23
7,ARI,SEA,SEA,FALSE,FALSE,10/22/23
7,ATL,TB,TB,FALSE,FALSE,10/22/23
7,BUF,NE,NE,FALSE,FALSE,10/22/23
7,CLE,IND,IND,FALSE,FALSE,10/22/23
7,DET,BAL,BAL,FALSE,BAL,10/22/23
7,GB,DEN,DEN,FALSE,FALSE,10/22/23
